date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:49	12733/12733	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jan%202022%2017:41:48%20GMT	https://cryptospire.trade/?a=faq	C:/Users/dell/Desktop/kako/cryptospire.trade/index38cd.html	(from https://cryptospire.trade/)
18:41:50	7628/7628	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jan%202022%2017:41:49%20GMT	https://cryptospire.trade/?a=signup	C:/Users/dell/Desktop/kako/cryptospire.trade/indexcca3.html	(from https://cryptospire.trade/)
18:41:50	7908/7908	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:45%20GMT	https://cryptospire.trade/styles/images/planicon3.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/planicon3.png	(from https://cryptospire.trade/)
18:41:51	6612/6612	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:46%20GMT	https://cryptospire.trade/styles/images/planicon4.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/planicon4.png	(from https://cryptospire.trade/)
18:41:51	4720/4720	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:36%20GMT	https://cryptospire.trade/styles/images/benefit1.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/benefit1.png	(from https://cryptospire.trade/)
18:41:52	4355/4355	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:37%20GMT	https://cryptospire.trade/styles/images/benefit2.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/benefit2.png	(from https://cryptospire.trade/)
18:41:53	3613/3613	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:37%20GMT	https://cryptospire.trade/styles/images/benefit3.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/benefit3.png	(from https://cryptospire.trade/)
18:41:53	3409/3409	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:38%20GMT	https://cryptospire.trade/styles/images/benefit4.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/benefit4.png	(from https://cryptospire.trade/)
18:41:54	3909/3909	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:38%20GMT	https://cryptospire.trade/styles/images/benefit5.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/benefit5.png	(from https://cryptospire.trade/)
18:41:55	4226/4226	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Sep%202020%2017:46:38%20GMT	https://cryptospire.trade/styles/images/benefit6.png	C:/Users/dell/Desktop/kako/cryptospire.trade/styles/images/benefit6.png	(from https://cryptospire.trade/)
